OBJECTID,ORGN,DSTN,SHAPE_Length
1,BELLVILLE,DURBANVILLE,12918.668591668
2,BELLVILLE,NYANGA,15814.7886294032
3,BELLVILLE,KHAYELITSHA,22221.7332256291
4,BELLVILLE,MOWBRAY,24910.2671473743
5,GUGULETU,CLAREMONT,15462.3415509529
6,GUGULETU,SEA POINT,35082.8221430848
7,KHAYELITSHA,WYNBERG,22398.7183143705
8,MITCHELLS PLAIN - TOWN CENTRE,WYNBERG,26375.5250579433
9,LANGA,CAPE TOWN,15402.2479181411
10,LANGA,SEA POINT,24447.1237389119
11,LANGA,MOWBRAY,9835.65511097018
12,NYANGA,WYNBERG,14229.4825115831
13,NYANGA,CLAREMONT,16184.3052990976
14,NYANGA,ATHLONE,11533.4188969657
15,NYANGA,MOWBRAY,15650.2919376441
16,NYANGA,CAPE TOWN,23147.7110696785
17,WYNBERG,KHAYELITSHA,32215.9659095154
18,WYNBERG,CONSTANTIA,6937.56218965965
19,WYNBERG,CAPE TOWN,14554.6361631225
20,BONTEHEUWEL,MOWBRAY,10600.8162189036
21,CAPE TOWN,HOUT BAY,30330.0110612635
22,HEIDEVELD,MOWBRAY,11723.7637521206
23,HEIDEVELD,CAPE TOWN,18580.924828611
24,OCEAN VIEW,FISH HOEK,12312.815075188
25,WYNBERG,HOUTBAY,21374.7284807457
26,MOWBRAY,MANENBERG,13921.2998702015
27,KHAYELITSHA,MOWBRAY,24429.4205236395
28,NYANGA,PAROW,17280.6852555413
29,ELSIES RIVER,NYANGA,13845.8067397702
30,PAROW,NYANGA,13903.4239582339
31,BONTEHEUWEL,CAPE TOWN,11753.5574604472
32,KHAYELITSHA,LANGA,19144.2093895935
33,MITCHELLS PLAIN 3RD/7TH AVENUE,HANOVER PARK,17153.0060709915
34,CAPE TOWN,HEIDEVELD,19495.2301799505
35,MFULENI,BLACKHEATH,7715.85400544769
36,HANOVER PARK,CLAREMONT,7866.80833006618
37,BELLVILLE,MAKHAZA KHAYELITSHA,29877.825069611
38,BELLVILLE,WALLACEDENE,14241.9081859105
39,LWANDLE,SOMERSET WEST,7503.20554960174
40,LWANDLE,KHAYELITSHA,34762.0345488032
41,THE HAGUE DELFT,MITCHELLS PLAIN,16141.2106377938
42,VOORBRUG DELFT,MITCHELLS PLAIN,15218.1481504703
43,THE HAGUE DELFT,PAROW,15393.4830474315
44,PAROW,UITSIG,3947.57929245299
45,VOORBRUG DELFT,PAROW,16534.2726176384
46,THE HAGUE DELFT,BELLVILLE,12777.7669603333
47,EINDHOVEN DELFT,CAPE TOWN,32526.4744712988
48,EINDHOVEN DELFT,PAROW,17934.6199186155
49,EINDHOVEN DELFT,ELSIES RIVER,16072.3142337013
50,VOORBRUG,ELSIES RIVER,14671.9669327242
51,UNIBELL,BELLVILLE,24561.4998207948
52,PAROW SANLAM CENTRE,VOORBRUG DELFT,15050.4378397629
53,LOTUS RIVER,WYNBERG,8878.19281773552
54,MELTON ROSE,ELSIES RIVER,4902.79164790339
55,GRASSY PARK,WYNBERG,8989.59803208357
56,GRASSY PARK,MITCHELLS PLAIN,21052.7680233529
57,HANOVER PARK,RETREAT,17341.4591981959
58,HANOVER PARK,CAPE TOWN (VIA KROMBOOM),19194.0829632607
59,HANOVER PARK,ATHLONE,6577.3005636372
60,KHAYELITSHA,PAROW,22697.6296833706
61,PAROW STATION,BELHAR DELFT,16511.4245746793
62,PAROW STATION,NORWOOD,6987.80476332624
63,PAROW STATION,ELSIES RIVER,7160.41909351143
64,PAROW STATION,RAVENSMEAD,4205.81172926024
65,KHAYELITSHA,PAROW,22755.1514119664
66,MELTON ROSE,BELLVILLE,17563.0959274951
67,MITCHELLS PLAIN,NORTHWOOD,6157.36215900195
68,HAZELDENE,SPINE RD MITCHELLS PLAIN,4880.47757158487
69,MITCHELLS PLAIN,TAFELSIG,5460.37532383429
70,SAXONWOLD,ATLANTIS,49530.0683972433
71,SOMERSET WEST,VIA MUSICA MACASSAR,15268.1025736809
72,SOMERSET WEST,VIA ALBATROS MACASSAR,16597.6384092003
73,SOMERSET WEST,KRAMAT,15454.8304777622
74,SOMERSET WEST,GORDONS BAY,17036.6760143693
75,N1 CITY,ELSIES RIVER,4683.27696167787
76,VASCO VIA N1 CITY,ELSIES RIVER,6625.07135773148
77,N1 CITY,MITCHELLS PLAIN,30976.465073823
78,WYNBERG,HANOVER PARK,7622.46972269852
79,HANOVER PARK,CAPE TOWN (VIA MOWBRAY),17670.6959510061
80,HANOVER PARK,CAPE TOWN (VIA SETTLERS WAY),21437.3203569179
81,KLIPHEUWEL,BELLVILLE,64858.518991191
82,KENSINGTON,CAPE TOWN,16770.0642213734
83,KENSINGTON,VASCO,7894.22907744149
84,KENSINGTON,MUTUAL STATION,4660.19877647237
85,MITCHELLS PLAIN,LENTEGEUR STATION,15483.416052078
86,PAROW,PANORAMA,9218.72289300073
87,VREDEHOEK,CAPE TOWN,4597.67670216014
88,MITCHELLS PLAIN,NEW LENTEGEUR,7476.12961210441
89,MITCHELLS PLAIN,NEW LENTEGEUR (VIA HENGELAAR),5986.019257654
90,MITCHELLS PLAIN,MONTROSE PARK,6878.61536785656
91,GRASSY PARK,WYNBERG,10501.0299053184
92,GRASSY PARK,WYNBERG,7124.48600288029
93,MELTON ROSE,DELFT,11154.9415034938
94,MITCHELLS PLAIN,CAPE TOWN,34605.5141304844
95,ELSIES RIVER,NETREG,11394.2256054688
96,CAPE TOWN,WYNBERG,14742.4291386442
97,CAPE TOWN,HOUT BAY (VIA HIGH LEVEL RD),29865.5884718115
98,CAPE TOWN,HOUT BAY (VIA MAIN RD),29834.8662634147
99,CAPE TOWN,HOUT BAY (VIA KLOOF RD),26405.4716035285
100,CAPE TOWN,HOUT BAY (VIA WESTERN BLVD),30046.9971223751
101,SEA POINT,NYANGA,32440.6281069908
102,PELLA,MALMESBURY,45152.3098335079
103,PELLA,DARLING,19378.3529757665
104,PELLA,ATLANTIS,8773.92281203697
105,GRASSY PARK,VIA PLUMSTEAD - WYNBERG,7531.70251333007
106,GRASSY PARK,VIA VICTORIA RD - WYNBERG,8989.59803208357
